Name	Atlantis Odyssey
Address	/store/apps/details?id=com.vizorapps.atlantis
Time	Mean Rate	Total Rates	Rate 5	Rate 4	Rate 3	Rate 2	Rate 1
2020.11.14 8:11	4.4	31,017	100	22	9	3	6
2020.11.19 5:20	4.4	34,853	100	22	10	3	7
2020.11.19 6:21	4.4	34,872	100	22	10	3	7
2020.11.19 6:35	4.4	34,881	100	22	10	3	7
2020.11.19 7:36	4.4	34,899	100	22	10	3	6
2020.11.19 8:36	4.4	34,927	100	22	10	3	7
2020.11.19 9:36	4.4	34,945	100	22	10	3	6
2020.11.19 10:37	4.4	34,982	100	22	10	3	7
2020.11.19 11:37	4.4	34,997	100	22	10	3	7
2020.11.19 12:37	4.4	35,024	100	22	10	3	7
2020.11.19 13:38	4.4	35,065	100	22	10	3	7
2020.11.21 4:58	4.4	36,063	100	21	11	3	7
2020.11.21 4:59	4.4	36,072	100	21	11	3	7
2020.11.21 5:59	4.4	36,077	100	21	11	3	7
2020.11.21 7:0	4.4	36,104	100	21	11	3	7
2020.11.21 7:48	4.4	36,124	100	21	11	3	7
2020.11.21 8:48	4.4	36,159	100	21	11	3	7
2020.11.21 9:48	4.4	36,181	100	21	11	3	7
2020.11.21 10:49	4.4	36,221	100	21	11	3	7
2020.11.21 11:49	4.4	36,248	100	21	11	3	7
2020.11.21 12:49	4.4	36,275	100	21	12	3	7
2020.11.21 13:50	4.4	36,304	100	21	12	3	7
2020.11.22 2:56	4.4	37,574	100	23	12	3	7
2020.11.22 3:56	4.4	37,627	100	23	12	3	7
2020.11.22 4:56	4.4	37,677	100	24	13	3	7
2020.11.22 5:57	4.4	37,726	100	24	13	3	7
2020.11.22 6:57	4.4	37,785	100	24	13	3	7
2020.11.22 7:57	4.4	37,839	100	24	13	3	7
2020.11.22 8:58	4.4	37,910	100	24	13	3	7
2020.11.22 9:58	4.4	37,980	100	24	14	3	7
2020.11.22 10:58	4.4	38,015	100	24	14	3	7
2020.11.23 14:34	4.4	39,355	100	26	14	4	6
2020.11.23 15:35	4.4	39,377	100	26	14	4	6
2020.11.25 14:40	4.4	40,609	100	26	14	4	6
2020.11.26 13:5	4.4	41,096	100	26	15	4	7
2020.11.26 14:5	4.4	41,137	100	26	14	4	7
2020.11.26 15:6	4.4	41,153	100	26	14	4	7
2020.11.28 11:22	4.3	42,038	100	26	15	5	8
