Name	Bank Job 3D
Address	/store/apps/details?id=com.alyagames.bankstory
Time	Mean Rate	Total Rates	Rate 5	Rate 4	Rate 3	Rate 2	Rate 1
2020.11.14 8:5	3.2	625	100	25	16	18	81
2020.11.19 5:20	3.2	827	100	15	44	13	72
2020.11.19 6:21	3.2	827	100	15	44	13	72
2020.11.19 6:35	3.2	827	100	15	44	13	72
2020.11.19 7:36	3.2	828	100	15	44	13	74
2020.11.19 8:36	3.2	830	100	15	44	15	73
2020.11.19 9:36	3.2	838	100	14	46	16	79
2020.11.19 10:37	3.2	841	100	14	47	16	76
2020.11.19 11:37	3.1	846	100	12	56	15	79
2020.11.19 12:37	3.1	848	100	12	54	14	79
2020.11.19 13:38	3.2	852	100	11	53	13	74
2020.11.21 4:58	3.6	943	100	9	27	12	43
2020.11.21 4:59	3.6	943	100	9	27	12	43
2020.11.21 5:59	3.5	945	100	9	27	12	46
2020.11.21 7:0	3.5	948	100	9	26	12	46
2020.11.21 7:48	3.5	948	100	9	26	12	46
2020.11.21 8:48	3.5	950	100	10	26	12	46
2020.11.21 9:49	3.5	950	100	10	26	12	46
2020.11.21 10:49	3.5	953	100	12	26	15	46
2020.11.21 11:49	3.5	954	100	12	25	15	45
2020.11.21 12:49	3.5	958	100	11	24	16	45
2020.11.21 13:50	3.5	964	100	12	23	16	44
2020.11.22 2:56	3.5	989	100	26	28	18	48
2020.11.22 3:56	3.5	989	100	26	28	18	48
2020.11.22 4:56	3.5	989	100	26	28	18	48
2020.11.22 5:57	3.5	990	100	28	28	18	48
2020.11.22 6:57	3.5	991	100	30	28	18	48
2020.11.22 7:57	3.5	996	100	31	27	17	53
2020.11.22 8:58	3.5	1,000	100	32	26	17	53
2020.11.22 9:58	3.4	1,002	100	32	26	17	57
2020.11.22 10:58	3.4	1,005	100	33	26	16	58
2020.11.23 14:34	3.3	1,064	100	27	22	18	65
2020.11.23 15:35	3.3	1,070	100	26	23	18	68
2020.11.25 14:40	3.1	1,142	100	26	23	10	91
2020.11.26 13:5	3.2	1,187	100	20	17	10	84
2020.11.26 14:5	3.2	1,189	100	19	16	10	84
2020.11.26 15:6	3.2	1,191	100	21	16	10	86
2020.11.28 11:22	3.4	1,265	100	22	16	19	62
