Name	Car Destruction
Address	/store/apps/details?id=com.firehero.uapub.plus
Time	Mean Rate	Total Rates	Rate 5	Rate 4	Rate 3	Rate 2	Rate 1
2020.11.14 8:7	4.2	2,075	100	7	4	6	18
2020.11.19 5:20	4.0	2,358	100	12	8	7	22
2020.11.19 6:21	4.1	2,360	100	12	8	7	22
2020.11.19 6:35	4.1	2,361	100	12	8	7	22
2020.11.19 7:36	4.0	2,365	100	13	8	7	23
2020.11.19 8:36	4.0	2,367	100	13	8	7	22
2020.11.19 9:36	4.1	2,369	100	12	8	7	22
2020.11.19 10:37	4.1	2,369	100	12	8	7	22
2020.11.19 11:37	4.0	2,372	100	13	8	7	23
2020.11.19 12:37	4.1	2,374	100	13	8	7	22
2020.11.19 13:38	4.1	2,377	100	13	8	7	22
2020.11.21 4:58	4.1	2,492	100	13	5	6	20
2020.11.21 4:59	4.1	2,492	100	13	5	6	20
2020.11.21 5:59	4.1	2,493	100	13	6	6	20
2020.11.21 7:0	4.2	2,497	100	13	6	6	19
2020.11.21 7:48	4.2	2,502	100	12	6	5	19
2020.11.21 8:48	4.2	2,510	100	12	6	5	19
2020.11.21 9:49	4.2	2,511	100	12	6	5	19
2020.11.21 10:49	4.2	2,512	100	12	6	5	19
2020.11.21 11:49	4.2	2,512	100	12	6	5	19
2020.11.21 12:50	4.2	2,514	100	12	6	5	19
2020.11.21 13:50	4.2	2,519	100	12	6	5	19
2020.11.22 2:56	4.1	2,529	100	12	7	6	21
2020.11.22 3:56	4.1	2,530	100	12	6	6	21
2020.11.22 4:56	4.1	2,530	100	12	6	6	21
2020.11.22 5:57	4.1	2,531	100	12	6	6	21
2020.11.22 6:57	4.1	2,533	100	12	6	6	21
2020.11.22 7:57	4.1	2,535	100	12	6	6	21
2020.11.22 8:58	4.1	2,538	100	13	6	6	22
2020.11.22 9:58	4.1	2,541	100	10	7	5	21
2020.11.22 10:58	4.1	2,544	100	11	7	5	21
2020.11.23 14:34	4.0	2,559	100	13	11	5	28
2020.11.23 15:35	3.9	2,561	100	13	12	5	28
2020.11.25 14:40	3.8	2,594	100	11	13	9	35
2020.11.26 13:5	3.7	2,618	100	11	13	8	37
2020.11.26 14:5	3.7	2,620	100	11	13	8	37
2020.11.26 15:6	3.7	2,622	100	12	13	8	37
2020.11.28 11:22	3.7	2,689	100	12	14	11	36
2020.11.28 11:23	3.7	2,689	100	12	14	11	36
2020.11.28 12:23	3.7	2,691	100	12	15	11	36
2020.11.28 13:23	3.6	2,695	100	12	18	11	42
2020.11.28 14:24	3.6	2,697	100	12	18	11	41
