Name	Dragonscapes Adventure
Address	/store/apps/details?id=com.dragonscapes.global
Time	Mean Rate	Total Rates	Rate 5	Rate 4	Rate 3	Rate 2	Rate 1
2020.11.14 7:45	4.7	8,982	100	11	3	1	3
2020.11.19 5:21	4.7	12,235	100	8	3	1	2
2020.11.19 6:21	4.7	12,262	100	8	3	1	2
2020.11.19 6:35	4.7	12,266	100	8	3	1	2
2020.11.19 7:36	4.7	12,286	100	8	3	1	2
2020.11.19 8:36	4.7	12,319	100	8	3	1	2
2020.11.19 9:36	4.7	12,333	100	8	3	1	2
2020.11.19 10:37	4.7	12,363	100	8	3	1	2
2020.11.19 11:37	4.7	12,399	100	8	3	1	2
2020.11.19 12:37	4.7	12,424	100	8	3	1	2
2020.11.19 13:38	4.7	12,440	100	8	3	1	2
2020.11.21 4:58	4.3	14,008	100	14	9	4	13
2020.11.21 4:59	4.3	14,008	100	14	9	4	13
2020.11.21 5:59	4.3	14,028	100	14	9	4	12
2020.11.21 7:0	4.3	14,047	100	14	9	4	12
2020.11.21 7:48	4.2	14,077	100	17	11	6	16
2020.11.21 8:48	4.2	14,095	100	16	11	6	16
2020.11.21 9:49	4.2	14,125	100	16	11	6	16
2020.11.21 10:49	4.2	14,149	100	16	10	6	16
2020.11.21 11:49	4.2	14,174	100	16	10	6	15
2020.11.21 12:50	4.2	14,207	100	16	10	6	15
2020.11.21 13:50	4.2	14,239	100	16	10	5	15
2020.11.22 2:56	4.3	14,596	100	14	8	4	11
2020.11.22 3:56	4.4	14,614	100	14	8	4	11
2020.11.22 4:56	4.4	14,632	100	14	8	4	10
2020.11.22 5:57	4.4	14,651	100	14	8	4	10
2020.11.22 6:57	4.4	14,676	100	14	8	4	10
2020.11.22 7:57	4.4	14,704	100	14	8	4	10
2020.11.22 8:58	4.4	14,744	100	14	8	4	10
2020.11.22 9:58	4.4	14,786	100	14	8	4	10
2020.11.22 10:58	4.4	14,818	100	14	8	4	10
2020.11.23 14:34	4.7	15,603	100	9	3	1	3
2020.11.23 15:35	4.7	15,636	100	9	3	1	3
2020.11.25 14:40	4.6	17,100	100	7	4	2	4
2020.11.26 13:5	4.6	17,683	100	8	4	2	4
2020.11.26 14:5	4.6	17,703	100	8	4	2	4
2020.11.26 15:6	4.6	17,743	100	8	4	2	4
2020.11.28 11:22	4.7	18,808	100	7	4	2	3
