Name	Fruit Ninja 2 - Fun Action Games
Address	/store/apps/details?id=com.halfbrick.fruitninjax
Time	Mean Rate	Total Rates	Rate 5	Rate 4	Rate 3	Rate 2	Rate 1
2020.11.14 7:21	4.3	1,499	100	16	10	5	11
2020.11.19 5:21	4.2	2,343	100	19	10	6	16
2020.11.19 6:21	4.2	2,350	100	19	11	6	16
2020.11.19 6:35	4.2	2,350	100	19	11	6	16
2020.11.19 7:36	4.2	2,353	100	18	11	6	16
2020.11.19 8:36	4.2	2,364	100	18	11	6	15
2020.11.19 9:36	4.2	2,366	100	18	10	6	15
2020.11.19 10:37	4.2	2,373	100	18	11	6	15
2020.11.19 11:37	4.2	2,379	100	18	12	6	15
2020.11.19 12:37	4.2	2,386	100	18	12	6	15
2020.11.19 13:38	4.2	2,387	100	18	12	6	15
2020.11.21 4:59	3.9	3,231	100	12	9	5	30
2020.11.21 4:59	3.9	3,232	100	12	8	5	30
2020.11.21 5:59	3.9	3,255	100	12	8	5	29
2020.11.21 7:0	4.0	3,270	100	11	9	5	28
2020.11.21 7:48	4.0	3,286	100	12	9	5	28
2020.11.21 8:48	4.0	3,318	100	11	8	5	28
2020.11.21 9:49	4.0	3,349	100	11	8	5	27
2020.11.21 10:49	4.0	3,376	100	11	8	5	27
2020.11.21 11:49	4.0	3,414	100	11	8	5	27
2020.11.21 12:50	4.0	3,442	100	11	7	5	26
2020.11.21 13:50	4.2	3,500	100	10	7	3	19
2020.11.22 2:56	4.1	3,845	100	10	7	4	22
2020.11.22 3:56	4.1	3,876	100	10	7	4	22
2020.11.22 4:56	4.1	3,901	100	9	7	3	21
2020.11.22 5:57	4.1	3,929	100	9	7	4	22
2020.11.22 6:57	4.1	3,960	100	9	7	4	22
2020.11.22 7:57	4.1	3,990	100	9	7	4	22
2020.11.22 8:58	4.1	4,019	100	9	7	4	21
2020.11.22 9:58	4.1	4,058	100	9	6	4	22
2020.11.22 10:58	4.1	4,091	100	9	6	4	22
2020.11.23 14:34	4.2	4,916	100	10	4	4	20
2020.11.23 15:35	4.2	4,938	100	10	4	4	20
2020.11.25 14:40	4.2	6,083	100	13	7	3	20
2020.11.26 13:5	4.0	6,578	100	11	7	5	26
2020.11.26 14:5	4.0	6,612	100	11	7	5	26
2020.11.26 15:6	4.0	6,654	100	11	7	5	26
2020.11.28 11:22	4.1	7,412	100	13	8	6	23
