Name	Goddess of Genesis S
Address	/store/apps/details?id=com.zlongame.un.gog
Time	Mean Rate	Total Rates	Rate 5	Rate 4	Rate 3	Rate 2	Rate 1
2020.11.14 7:27	4.5	7,946	100	20	6	2	7
2020.11.19 5:21	4.4	9,520	100	20	10	4	6
2020.11.19 6:21	4.4	9,525	100	20	10	4	5
2020.11.19 6:35	4.4	9,525	100	20	10	4	5
2020.11.19 7:36	4.4	9,530	100	20	10	4	5
2020.11.19 8:36	4.4	9,536	100	20	10	4	5
2020.11.19 9:36	4.4	9,546	100	20	10	4	5
2020.11.19 10:37	4.4	9,555	100	20	10	4	5
2020.11.19 11:37	4.4	9,559	100	20	10	4	5
2020.11.19 12:37	4.4	9,567	100	20	10	4	5
2020.11.19 13:38	4.4	9,578	100	20	10	4	6
2020.11.21 4:59	4.4	9,901	100	22	10	3	8
2020.11.21 4:59	4.4	9,901	100	22	10	3	8
2020.11.21 5:59	4.4	9,903	100	23	10	3	8
2020.11.21 7:0	4.4	9,908	100	22	10	3	8
2020.11.21 7:48	4.4	9,915	100	23	10	3	8
2020.11.21 8:48	4.4	9,921	100	23	10	3	8
2020.11.21 9:49	4.4	9,926	100	23	10	3	9
2020.11.21 10:49	4.4	9,936	100	23	10	3	9
2020.11.21 11:49	4.4	9,942	100	23	10	3	9
2020.11.21 12:50	4.4	9,955	100	23	10	4	9
2020.11.21 13:50	4.4	9,960	100	23	10	4	9
2020.11.22 2:56	4.4	10,082	100	22	10	3	9
2020.11.22 3:56	4.4	10,085	100	22	10	3	9
2020.11.22 4:56	4.4	10,088	100	22	10	3	9
2020.11.22 5:57	4.4	10,098	100	22	10	3	9
2020.11.22 6:57	4.4	10,104	100	22	9	3	9
2020.11.22 7:57	4.4	10,112	100	22	9	3	9
2020.11.22 8:58	4.4	10,115	100	22	9	3	9
2020.11.22 9:58	4.4	10,120	100	22	9	3	9
2020.11.22 10:58	4.4	10,129	100	22	9	3	9
2020.11.23 14:34	4.4	10,315	100	23	9	3	10
2020.11.23 15:35	4.3	10,320	100	23	9	3	10
2020.11.25 14:40	4.3	10,609	100	24	11	3	11
2020.11.26 13:5	4.3	10,746	100	25	10	2	11
2020.11.26 14:5	4.3	10,751	100	25	10	2	11
2020.11.26 15:6	4.3	10,762	100	25	10	2	11
2020.11.28 11:22	4.3	11,054	100	24	11	3	10
