Name	Legends of Idleon -- Idle MMO
Address	/store/apps/details?id=com.lavaflame.MMO
Time	Mean Rate	Total Rates	Rate 5	Rate 4	Rate 3	Rate 2	Rate 1
2020.11.14 8:23	4.7	1,069	100	11	2	0	4
2020.11.19 5:21	4.2	1,265	100	14	11	4	16
2020.11.19 6:21	4.2	1,266	100	14	11	4	16
2020.11.19 6:36	4.2	1,266	100	14	11	4	16
2020.11.19 7:36	4.2	1,271	100	13	10	3	16
2020.11.19 8:36	4.2	1,273	100	13	10	3	16
2020.11.19 9:36	4.2	1,275	100	15	10	3	15
2020.11.19 10:37	4.2	1,275	100	14	10	3	15
2020.11.19 11:37	4.2	1,275	100	14	10	3	15
2020.11.19 12:37	4.2	1,277	100	13	10	4	15
2020.11.19 13:38	4.2	1,278	100	13	11	4	15
2020.11.21 4:59	4.5	1,412	100	9	5	4	6
2020.11.21 4:59	4.5	1,412	100	9	5	4	6
2020.11.21 5:59	4.6	1,421	100	6	3	3	4
2020.11.21 7:0	4.6	1,422	100	6	3	3	4
2020.11.21 7:48	4.6	1,427	100	6	3	3	5
2020.11.21 8:48	4.6	1,430	100	7	3	3	5
2020.11.21 9:49	4.6	1,434	100	7	3	3	5
2020.11.21 10:49	4.6	1,443	100	7	5	2	5
2020.11.21 11:49	4.6	1,450	100	9	5	2	5
2020.11.21 12:50	4.6	1,454	100	9	5	3	5
2020.11.21 13:50	4.6	1,462	100	10	6	3	5
2020.11.22 2:56	4.5	1,510	100	16	6	5	4
2020.11.22 3:56	4.5	1,514	100	16	6	6	4
2020.11.22 4:56	4.5	1,516	100	16	6	6	4
2020.11.22 5:57	4.5	1,519	100	17	6	6	4
2020.11.22 6:57	4.5	1,523	100	17	6	6	4
2020.11.22 7:57	4.5	1,524	100	17	6	6	4
2020.11.22 8:58	4.5	1,526	100	17	5	5	4
2020.11.22 9:58	4.5	1,526	100	17	5	5	4
2020.11.22 10:58	4.5	1,531	100	18	5	5	4
2020.11.23 14:34	4.5	1,626	100	19	7	5	4
2020.11.23 15:35	4.5	1,630	100	19	7	5	4
2020.11.25 14:40	4.3	1,738	100	25	5	7	10
2020.11.26 13:5	4.3	1,777	100	24	4	7	12
2020.11.26 14:5	4.3	1,779	100	24	4	7	12
2020.11.26 15:6	4.3	1,780	100	24	4	7	11
2020.11.28 11:22	4.3	1,863	100	25	4	8	11
