Name	Lucky drop - Monster drop
Address	/store/apps/details?id=com.game.lucky.drop.android
Time	Mean Rate	Total Rates	Rate 5	Rate 4	Rate 3	Rate 2	Rate 1
2020.11.14 7:16	4.7	5,737	100	7	1	1	4
2020.11.19 5:21	4.7	6,583	100	5	2	1	5
2020.11.19 6:21	4.7	6,543	100	5	2	0	6
2020.11.19 6:36	4.7	6,543	100	5	2	0	6
2020.11.19 7:36	4.7	6,540	100	5	2	0	6
2020.11.19 8:36	4.7	6,550	100	5	2	0	6
2020.11.19 9:36	4.7	6,555	100	5	2	0	6
2020.11.19 10:37	4.7	6,558	100	5	2	0	6
2020.11.19 11:37	4.7	6,567	100	5	2	0	6
2020.11.19 12:37	4.7	6,571	100	5	2	0	6
2020.11.19 13:38	4.7	6,580	100	5	2	0	6
2020.11.21 4:59	4.6	6,806	100	5	2	0	7
2020.11.21 4:59	4.6	6,806	100	5	2	0	7
2020.11.21 5:59	4.6	6,812	100	5	2	0	7
2020.11.21 7:0	4.6	6,813	100	5	2	0	7
2020.11.21 7:48	4.6	6,821	100	5	2	0	7
2020.11.21 8:48	4.6	6,823	100	5	2	0	7
2020.11.21 9:49	4.6	6,825	100	5	2	0	7
2020.11.21 10:49	4.6	6,831	100	5	2	0	7
2020.11.21 11:49	4.6	6,836	100	5	2	0	7
2020.11.21 12:50	4.6	6,841	100	5	2	0	7
2020.11.21 13:50	4.6	6,846	100	5	2	0	7
2020.11.22 2:56	4.6	6,862	100	6	2	0	7
2020.11.22 3:56	4.6	6,867	100	6	2	0	7
2020.11.22 4:56	4.6	6,869	100	6	2	0	7
2020.11.22 5:57	4.6	6,873	100	6	2	0	7
2020.11.22 6:57	4.6	6,879	100	6	2	0	7
2020.11.22 7:57	4.6	6,884	100	6	2	0	7
2020.11.22 8:58	4.6	6,890	100	6	2	0	7
2020.11.22 9:58	4.6	6,896	100	6	2	0	7
2020.11.22 10:58	4.6	6,903	100	6	2	0	7
2020.11.23 14:34	4.6	7,054	100	7	2	1	7
2020.11.23 15:35	4.6	7,061	100	7	2	1	7
2020.11.25 14:40	4.5	7,487	100	7	5	3	7
2020.11.26 13:5	4.5	7,640	100	6	5	3	8
2020.11.26 14:5	4.5	7,648	100	6	5	3	8
2020.11.26 15:6	4.5	7,656	100	6	5	3	8
2020.11.28 11:22	4.6	7,998	100	6	4	2	7
