Name	Masking Print
Address	/store/apps/details?id=com.kayac.masking_print
Time	Mean Rate	Total Rates	Rate 5	Rate 4	Rate 3	Rate 2	Rate 1
2020.11.14 7:14	4.6	3,028	100	16	4	0	6
2020.11.19 5:21	4.2	4,398	100	15	8	6	17
2020.11.19 6:21	4.2	4,412	100	15	8	7	17
2020.11.19 6:36	4.2	4,413	100	15	8	7	17
2020.11.19 7:36	4.2	4,419	100	15	8	7	17
2020.11.19 8:36	4.2	4,428	100	15	8	6	17
2020.11.19 9:36	4.2	4,439	100	15	9	6	18
2020.11.19 10:37	4.2	4,444	100	15	8	6	17
2020.11.19 11:37	4.2	4,450	100	14	8	6	17
2020.11.19 12:37	4.2	4,461	100	15	8	6	17
2020.11.19 13:38	4.2	4,478	100	14	8	6	17
2020.11.21 4:59	4.1	4,833	100	16	10	5	18
2020.11.21 4:59	4.1	4,833	100	16	10	5	18
2020.11.21 5:59	4.1	4,839	100	18	13	4	20
2020.11.21 7:0	4.1	4,843	100	18	13	4	20
2020.11.21 7:48	4.1	4,856	100	18	13	5	20
2020.11.21 8:48	4.1	4,863	100	17	12	5	21
2020.11.21 9:49	4.1	4,876	100	17	13	5	21
2020.11.21 10:49	4.1	4,886	100	17	13	5	20
2020.11.21 11:49	4.1	4,897	100	17	13	5	21
2020.11.21 12:50	4.1	4,908	100	16	13	5	21
2020.11.21 13:50	4.1	4,923	100	16	13	5	20
2020.11.22 2:56	4.1	5,034	100	16	12	5	21
2020.11.22 3:56	4.1	5,039	100	16	12	5	21
2020.11.22 4:56	4.1	5,040	100	16	12	5	21
2020.11.22 5:57	4.1	5,046	100	16	12	5	21
2020.11.22 6:57	4.1	5,056	100	16	12	5	21
2020.11.22 7:57	4.1	5,059	100	16	12	5	21
2020.11.22 8:58	4.1	5,071	100	16	12	5	21
2020.11.22 9:58	4.1	5,077	100	16	12	5	21
2020.11.22 10:58	4.1	5,084	100	17	11	5	21
2020.11.23 14:34	4.0	5,319	100	13	12	7	22
2020.11.23 15:35	4.1	5,328	100	13	11	7	21
2020.11.25 14:40	4.0	5,753	100	17	12	7	24
2020.11.26 13:5	4.0	5,912	100	18	14	8	23
2020.11.26 14:5	4.0	5,920	100	18	14	8	23
2020.11.26 15:6	4.0	5,929	100	18	14	8	22
2020.11.28 11:22	4.0	6,316	100	15	14	9	22
2020.11.28 11:23	4.0	6,316	100	15	14	9	22
2020.11.28 12:23	4.0	6,322	100	15	14	9	22
2020.11.28 13:23	4.0	6,335	100	15	14	8	22
2020.11.28 14:24	4.0	6,348	100	15	14	8	21
