Name	Roof Rails
Address	/store/apps/details?id=com.pixelbox.roofrails
Time	Mean Rate	Total Rates	Rate 5	Rate 4	Rate 3	Rate 2	Rate 1
2020.11.14 7:30	3.4	353	100	9	4	3	64
2020.11.19 5:21	3.6	789	100	20	9	9	50
2020.11.19 6:21	3.6	795	100	20	8	8	48
2020.11.19 6:36	3.6	796	100	21	9	9	48
2020.11.19 7:36	3.6	799	100	21	9	9	50
2020.11.19 8:36	3.6	801	100	20	8	8	49
2020.11.19 9:37	3.6	807	100	24	11	7	50
2020.11.19 10:37	3.6	810	100	23	10	9	49
2020.11.19 11:37	3.6	816	100	21	10	8	49
2020.11.19 12:38	3.7	825	100	19	8	8	45
2020.11.19 13:38	3.6	828	100	19	8	8	47
2020.11.21 4:59	3.5	970	100	8	18	5	53
2020.11.21 4:59	3.5	970	100	8	18	5	53
2020.11.21 5:59	3.5	974	100	8	20	5	55
2020.11.21 7:0	3.5	975	100	8	19	4	54
2020.11.21 7:48	3.5	976	100	8	19	4	54
2020.11.21 8:48	3.5	982	100	10	18	4	53
2020.11.21 9:49	3.5	983	100	10	20	4	53
2020.11.21 10:49	3.6	985	100	10	19	4	51
2020.11.21 11:49	3.5	991	100	10	20	4	52
2020.11.21 12:50	3.6	996	100	9	19	4	50
2020.11.21 13:50	3.6	1,006	100	10	20	3	50
2020.11.22 2:56	3.7	1,058	100	8	15	5	44
2020.11.22 3:56	3.7	1,060	100	9	15	5	43
2020.11.22 4:57	3.7	1,062	100	9	15	5	44
2020.11.22 5:57	3.7	1,070	100	9	15	4	43
2020.11.22 6:57	3.7	1,071	100	9	16	4	43
2020.11.22 7:57	3.7	1,076	100	10	17	4	43
2020.11.22 8:58	3.6	1,079	100	10	17	4	45
2020.11.22 9:58	3.6	1,083	100	9	18	4	45
2020.11.22 10:58	3.6	1,084	100	11	18	4	45
2020.11.23 14:34	3.8	1,232	100	10	9	3	36
2020.11.23 15:35	3.8	1,242	100	10	9	4	37
2020.11.25 14:40	4.2	2,214	100	13	7	2	20
2020.11.26 13:5	4.2	2,727	100	11	5	2	21
2020.11.26 14:5	4.2	2,776	100	10	5	2	21
2020.11.26 15:6	4.2	2,817	100	11	5	2	21
2020.11.28 11:22	3.9	4,081	100	13	9	4	29
2020.11.28 11:23	3.9	4,078	100	13	9	4	30
2020.11.28 12:23	3.9	4,131	100	13	9	5	30
2020.11.28 13:24	3.9	4,168	100	15	10	5	29
2020.11.28 14:24	4.0	4,221	100	15	10	5	28
