Name	Samurai Slash - Run & Slice
Address	/store/apps/details?id=com.ketchapp.samuraislash
Time	Mean Rate	Total Rates	Rate 5	Rate 4	Rate 3	Rate 2	Rate 1
2020.11.14 7:23	4.5	483	100	6	2	1	11
2020.11.19 5:21	4.4	1,195	100	9	4	2	14
2020.11.19 6:21	4.4	1,201	100	9	5	2	13
2020.11.19 6:36	4.4	1,202	100	9	4	2	13
2020.11.19 7:36	4.4	1,204	100	9	5	2	14
2020.11.19 8:36	4.4	1,209	100	8	4	2	13
2020.11.19 9:37	4.4	1,211	100	8	5	2	13
2020.11.19 10:37	4.4	1,214	100	8	6	1	13
2020.11.19 11:37	4.4	1,221	100	8	5	2	13
2020.11.19 12:38	4.4	1,230	100	8	5	2	13
2020.11.19 13:38	4.4	1,238	100	8	6	2	13
2020.11.21 4:59	4.6	1,492	100	5	3	1	8
2020.11.21 4:59	4.6	1,492	100	5	3	1	8
2020.11.21 5:59	4.6	1,503	100	5	2	1	8
2020.11.21 7:0	4.6	1,508	100	5	3	1	8
2020.11.21 7:48	4.5	1,513	100	5	3	1	9
2020.11.21 8:48	4.5	1,519	100	4	4	1	8
2020.11.21 9:49	4.5	1,529	100	4	4	2	9
2020.11.21 10:49	4.5	1,535	100	5	4	2	9
2020.11.21 11:49	4.5	1,536	100	5	4	2	9
2020.11.21 12:50	4.5	1,546	100	5	4	1	8
2020.11.21 13:50	4.5	1,554	100	6	4	1	8
2020.11.22 2:56	4.5	1,639	100	4	3	0	12
2020.11.22 3:56	4.5	1,649	100	4	4	0	11
2020.11.22 4:57	4.5	1,655	100	4	4	0	12
2020.11.22 5:57	4.5	1,659	100	5	4	0	11
2020.11.22 6:57	4.5	1,662	100	5	4	0	11
2020.11.22 7:57	4.5	1,669	100	5	3	0	11
2020.11.22 8:58	4.5	1,671	100	4	3	0	12
2020.11.22 9:58	4.5	1,675	100	4	3	0	13
2020.11.22 10:58	4.5	1,679	100	4	3	0	12
2020.11.23 14:35	4.5	1,839	100	7	2	2	9
2020.11.23 15:35	4.5	1,844	100	7	2	2	9
2020.11.25 14:40	4.5	2,096	100	8	5	5	8
2020.11.26 13:5	4.4	2,183	100	9	7	4	9
2020.11.26 14:5	4.4	2,185	100	9	6	4	9
2020.11.26 15:6	4.4	2,191	100	9	6	4	9
2020.11.28 11:22	4.2	2,398	100	10	12	7	13
2020.11.28 11:23	4.2	2,398	100	10	12	7	13
2020.11.28 12:23	4.2	2,405	100	9	12	7	13
2020.11.28 13:24	4.2	2,411	100	10	11	7	13
2020.11.28 14:24	4.2	2,413	100	10	11	7	13
