Name	Shortcut Run
Address	/store/apps/details?id=com.ohmgames.cheatandrun
Time	Mean Rate	Total Rates	Rate 5	Rate 4	Rate 3	Rate 2	Rate 1
2020.11.14 6:40	3.7	19,062	100	16	10	6	43
2020.11.19 5:21	3.7	29,790	100	16	12	8	40
2020.11.19 6:21	3.7	29,867	100	16	12	8	40
2020.11.19 6:36	3.7	29,885	100	16	12	8	40
2020.11.19 7:36	3.7	29,906	100	16	12	9	40
2020.11.19 8:36	3.7	29,994	100	17	12	9	42
2020.11.19 9:37	3.7	30,122	100	17	12	9	42
2020.11.19 10:37	3.7	30,164	100	17	12	9	42
2020.11.19 11:37	3.7	30,317	100	16	12	8	41
2020.11.19 12:38	3.7	30,435	100	16	12	8	41
2020.11.19 13:38	3.7	30,531	100	17	12	8	41
2020.11.21 4:59	3.6	35,373	100	15	11	9	47
2020.11.21 4:59	3.6	35,411	100	15	11	9	47
2020.11.21 5:59	3.6	35,528	100	15	11	9	47
2020.11.21 7:0	3.6	35,613	100	15	11	9	47
2020.11.21 7:48	3.6	35,772	100	15	11	10	47
2020.11.21 8:48	3.6	35,864	100	15	11	9	46
2020.11.21 9:49	3.6	36,019	100	15	11	9	46
2020.11.21 10:49	3.6	36,123	100	15	11	9	46
2020.11.21 11:49	3.6	36,245	100	15	11	9	46
2020.11.21 12:50	3.6	36,383	100	15	11	9	46
2020.11.21 13:50	3.6	36,506	100	15	11	9	45
2020.11.22 2:56	3.6	38,281	100	15	11	9	47
2020.11.22 3:56	3.6	38,428	100	15	11	9	47
2020.11.22 4:57	3.6	38,599	100	15	11	9	47
2020.11.22 5:57	3.6	38,773	100	14	10	8	46
2020.11.22 6:57	3.6	38,949	100	14	10	8	47
2020.11.22 7:58	3.6	39,061	100	14	10	8	47
2020.11.22 8:58	3.6	39,231	100	14	10	8	47
2020.11.22 9:58	3.6	39,397	100	14	10	8	47
2020.11.22 10:58	3.6	39,577	100	14	10	8	46
2020.11.23 14:35	3.6	43,086	100	15	11	8	47
2020.11.23 15:35	3.6	43,326	100	15	11	8	47
2020.11.25 14:40	3.6	50,547	100	14	11	8	45
2020.11.26 13:5	3.6	54,235	100	14	11	8	45
2020.11.26 14:5	3.6	54,454	100	14	11	8	45
2020.11.26 15:6	3.6	54,580	100	15	11	8	45
2020.11.28 11:22	3.6	62,696	100	15	12	8	50
2020.11.28 11:23	3.6	62,726	100	15	12	8	50
2020.11.28 12:23	3.6	63,057	100	14	12	8	49
2020.11.28 13:24	3.6	63,321	100	14	12	8	50
2020.11.28 14:24	3.6	63,585	100	14	12	8	50
