Name	Stretch Guy
Address	/store/apps/details?id=com.YsoCorp.StretchGuy
Time	Mean Rate	Total Rates	Rate 5	Rate 4	Rate 3	Rate 2	Rate 1
2020.11.14 6:46	3.8	911	100	10	9	8	37
2020.11.19 5:21	3.4	2,770	100	17	17	14	58
2020.11.19 6:21	3.4	2,780	100	18	18	15	59
2020.11.19 6:36	3.4	2,783	100	18	18	15	59
2020.11.19 7:36	3.4	2,792	100	18	19	15	59
2020.11.19 8:36	3.4	2,805	100	18	18	17	60
2020.11.19 9:37	3.4	2,818	100	19	20	17	61
2020.11.19 10:37	3.4	2,829	100	18	19	17	61
2020.11.19 11:37	3.3	2,862	100	17	19	18	61
2020.11.19 12:38	3.3	2,876	100	17	19	19	61
2020.11.19 13:38	3.4	2,909	100	17	19	18	61
2020.11.21 4:59	3.5	3,593	100	16	18	9	53
2020.11.21 4:59	3.5	3,591	100	16	17	9	53
2020.11.21 6:0	3.5	3,608	100	16	17	10	54
2020.11.21 7:0	3.5	3,627	100	16	18	10	53
2020.11.21 7:48	3.5	3,644	100	16	19	11	53
2020.11.21 8:48	3.5	3,658	100	17	20	11	54
2020.11.21 9:49	3.5	3,676	100	17	19	11	52
2020.11.21 10:49	3.5	3,705	100	17	19	10	52
2020.11.21 11:49	3.5	3,712	100	17	19	11	53
2020.11.21 12:50	3.5	3,751	100	18	19	11	52
2020.11.21 13:50	3.5	3,780	100	19	19	11	52
2020.11.22 2:56	3.5	4,079	100	17	18	10	51
2020.11.22 3:56	3.5	4,099	100	18	18	10	52
2020.11.22 4:57	3.5	4,109	100	20	18	10	53
2020.11.22 5:57	3.5	4,126	100	19	18	9	52
2020.11.22 6:57	3.5	4,148	100	19	17	9	51
2020.11.22 7:58	3.6	4,166	100	20	17	9	51
2020.11.22 8:58	3.6	4,182	100	20	16	8	51
2020.11.22 9:58	3.6	4,206	100	20	16	8	50
2020.11.22 10:58	3.6	4,232	100	19	16	8	49
2020.11.23 14:35	3.7	4,633	100	23	16	6	44
2020.11.23 15:35	3.7	4,669	100	22	16	6	44
2020.11.25 14:40	3.4	5,555	100	22	25	13	59
2020.11.26 13:5	3.4	6,023	100	19	23	12	61
2020.11.26 14:6	3.4	6,050	100	19	22	12	60
2020.11.26 15:6	3.4	6,095	100	19	22	13	59
2020.11.28 11:22	3.3	7,304	100	23	23	18	71
2020.11.28 11:23	3.3	7,305	100	23	23	18	70
2020.11.28 12:23	3.3	7,335	100	22	24	18	71
2020.11.28 13:24	3.3	7,364	100	22	23	18	70
2020.11.28 14:24	3.3	7,396	100	22	23	18	71
